,FIPS_Code,State,Year,Month,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate
27836,13,Georgia,2019,10,8236438,5178965,62.9,5006146,60.8,172819,3.3
27837,15,Hawaii,2019,10,1090017,672425,61.7,657423,60.3,15002,2.2
27838,16,Idaho,2019,10,1380905,887783,64.3,864059,62.6,23724,2.7
27839,17,Illinois,2019,10,9991696,6419051,64.2,6185129,61.9,233922,3.6
27840,18,Indiana,2019,10,5254766,3389710,64.5,3283284,62.5,106426,3.1
27841,19,Iowa,2019,10,2475313,1742983,70.4,1693374,68.4,49609,2.8
27842,20,Kansas,2019,10,2230598,1500323,67.3,1453350,65.2,46973,3.1
27843,21,Kentucky,2019,10,3501637,2082967,59.5,1997368,57.0,85599,4.1
27844,22,Louisiana,2019,10,3585062,2137472,59.6,2033350,56.7,104122,4.9
27845,23,Maine,2019,10,1113920,698672,62.7,679614,61.0,19058,2.7
27846,24,Maryland,2019,10,4771088,3290807,69.0,3179659,66.6,111148,3.4
27847,25,Massachusetts,2019,10,5643397,3785377,67.1,3674106,65.1,111271,2.9
27848,26,Michigan,2019,10,7996150,4953762,62.0,4760278,59.5,193484,3.9
27849,27,Minnesota,2019,10,4434016,3109362,70.1,3013162,68.0,96200,3.1
27850,28,Mississippi,2019,10,2288305,1287058,56.2,1214486,53.1,72572,5.6
27851,29,Missouri,2019,10,4822582,3096557,64.2,2990876,62.0,105681,3.4
27852,30,Montana,2019,10,854715,541118,63.3,521645,61.0,19473,3.6
27853,31,Nebraska,2019,10,1481955,1044517,70.5,1013744,68.4,30773,2.9
27854,32,Nevada,2019,10,2448374,1586738,64.8,1527688,62.4,59050,3.7
27855,33,New Hampshire,2019,10,1124967,777002,69.1,756850,67.3,20152,2.6
27856,34,New Jersey,2019,10,7078684,4566562,64.5,4405312,62.2,161250,3.5
27857,35,New Mexico,2019,10,1645643,964590,58.6,916937,55.7,47653,4.9
27858,36,New York,2019,10,15647260,9524726,60.9,9166554,58.6,358172,3.8
27859,51000,New York city,2019,10,6721440,4075008,60.6,3926676,58.4,148332,3.6
27860,37,North Carolina,2019,10,8288916,5102287,61.6,4919286,59.3,183001,3.6
27861,38,North Dakota,2019,10,584452,409836,70.1,400374,68.5,9462,2.3
27862,39,Ohio,2019,10,9252182,5869890,63.4,5623254,60.8,246636,4.2
27863,40,Oklahoma,2019,10,3038533,1853060,61.0,1795497,59.1,57563,3.1
27864,41,Oregon,2019,10,3420102,2109607,61.7,2037899,59.6,71708,3.4
27865,42,Pennsylvania,2019,10,10280988,6526543,63.5,6224885,60.5,301658,4.6
27866,44,Rhode Island,2019,10,863711,561826,65.0,541650,62.7,20176,3.6
27867,45,South Carolina,2019,10,4088460,2368998,57.9,2313318,56.6,55680,2.4
27868,46,South Dakota,2019,10,676238,465041,68.8,451194,66.7,13847,3.0
27869,47,Tennessee,2019,10,5398996,3341366,61.9,3227055,59.8,114311,3.4
27870,48,Texas,2019,10,22042462,14145807,64.2,13647759,61.9,498048,3.5
27871,49,Utah,2019,10,2365287,1623452,68.6,1584461,67.0,38991,2.4
27872,50,Vermont,2019,10,518595,344591,66.4,336052,64.8,8539,2.5
27873,51,Virginia,2019,10,6700112,4452045,66.4,4338608,64.8,113437,2.5
27874,53,Washington,2019,10,6046858,3939393,65.1,3784478,62.6,154915,3.9
27875,54,West Virginia,2019,10,1448521,802987,55.4,763271,52.7,39716,4.9
27876,55,Wisconsin,2019,10,4642347,3098170,66.7,2994445,64.5,103725,3.3
27877,56,Wyoming,2019,10,452379,297774,65.8,286188,63.3,11586,3.9
27878,1,Alabama,2019,11,3873710,2245681,58.0,2184363,56.4,61318,2.7
27879,2,Alaska,2019,11,546204,353902,64.8,336054,61.5,17848,5.0
27880,4,Arizona,2019,11,5779302,3573493,61.8,3405586,58.9,167907,4.7
27881,5,Arkansas,2019,11,2351416,1371392,58.3,1323096,56.3,48296,3.5
27882,6,California,2019,11,31078032,19428005,62.5,18629523,59.9,798482,4.1
27883,37,Los Angeles County,2019,11,8037013,5174375,64.4,4935596,61.4,238779,4.6
27884,8,Colorado,2019,11,4573834,3150945,68.9,3070651,67.1,80294,2.5
27885,9,Connecticut,2019,11,2885855,1924643,66.7,1855727,64.3,68916,3.6
27886,10,Delaware,2019,11,784946,492180,62.7,472634,60.2,19546,4.0
27887,11,District of Columbia,2019,11,582122,419325,72.0,398766,68.5,20559,4.9
27888,12,Florida,2019,11,17515663,10438251,59.6,10104965,57.7,333286,3.2
27889,13,Georgia,2019,11,8244931,5188077,62.9,5017472,60.9,170605,3.3
27890,15,Hawaii,2019,11,1089866,673465,61.8,659069,60.5,14396,2.1
