,State,Year,FIPS_Code,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate,Population,gdp,treatment
151,Iowa,2011,19.0,2375851.333333333,1670116.333333333,70.3,1575940.75,66.33333333333336,94175.58333333331,5.650000000000001,3066336.0,152153.2,0
152,Iowa,2012,19.0,2389698.083333333,1660358.333333333,69.49166666666666,1576257.25,65.94999999999999,84101.08333333331,5.058333333333334,3076190.0,157838.6,0
153,Iowa,2013,19.0,2405162.5,1676882.25,69.725,1597567.416666667,66.425,79314.83333333331,4.7250000000000005,3092997.0,157902.5,0
154,Iowa,2014,19.0,2420070.416666666,1699027.75,70.20833333333331,1627046.833333333,67.225,71980.91666666669,4.2250000000000005,3109350.0,165641.4,0
155,Iowa,2015,19.0,2431479.5,1700631.416666667,69.93333333333334,1637625.083333333,67.35000000000001,63006.33333333334,3.691666666666667,3120960.0,170545.9,0
156,Iowa,2016,19.0,2442455.916666666,1703087.583333333,69.71666666666667,1641910.583333333,67.23333333333333,61177.0,3.575,3131371.0,169488.8,0
157,Iowa,2017,19.0,2452634.833333333,1686578.666666667,68.78333333333335,1634396.75,66.64166666666667,52181.91666666666,3.083333333333333,3141550.0,168976.5,0
158,Iowa,2018,19.0,2460389.25,1701548.75,69.15833333333333,1657315.833333333,67.35833333333333,44232.91666666666,2.6,3148618.0,172844.7,0
159,Iowa,2019,19.0,2471395.5,1733664.25,70.14999999999999,1685761.5,68.20833333333333,47902.75,2.75,3155070.0,173515.4,0
160,Kansas,2010,20.0,2148694.5,1500469.583333333,69.825,1396262.666666667,64.98333333333332,104206.91666666669,6.933333333333333,2858190.0,135182.0,0
161,Kansas,2011,20.0,2161751.75,1497807.0,69.28333333333335,1402091.0,64.85833333333333,95716.0,6.383333333333333,2869225.0,138782.0,0
162,Kansas,2012,20.0,2174286.833333333,1490938.333333333,68.575,1405657.416666667,64.65833333333335,85280.91666666669,5.716666666666668,2885257.0,140764.1,0
163,Kansas,2013,20.0,2183614.25,1489830.416666667,68.22500000000001,1410945.583333333,64.61666666666667,78884.83333333331,5.3,2893212.0,140355.8,0
164,Kansas,2014,20.0,2194459.666666666,1494142.666666667,68.09166666666665,1426810.416666667,65.025,67332.25,4.508333333333332,2900475.0,144131.5,0
165,Kansas,2015,20.0,2204743.166666666,1493864.416666667,67.76666666666668,1431795.25,64.95833333333333,62069.16666666666,4.15,2909011.0,147929.8,0
166,Kansas,2016,20.0,2213993.583333333,1491806.583333333,67.375,1431732.75,64.66666666666666,60073.83333333334,4.016666666666667,2910844.0,152511.5,0
167,Kansas,2017,20.0,2217600.833333333,1483659.916666667,66.90833333333333,1429849.083333333,64.475,53810.83333333334,3.633333333333333,2908718.0,154456.6,0
168,Kansas,2018,20.0,2222350.333333333,1483534.333333333,66.74166666666667,1434727.0,64.56666666666668,48807.33333333334,3.2833333333333328,2911359.0,158192.7,0
169,Kansas,2019,20.0,2227888.666666666,1493631.416666667,67.05,1446479.75,64.93333333333335,47151.66666666666,3.1416666666666675,2913314.0,160059.3,0
170,Kentucky,2010,21.0,3350085.5,2064406.666666667,61.61666666666667,1852447.916666667,55.29999999999999,211958.75,10.266666666666667,4348181.0,172266.7,0
171,Kentucky,2011,21.0,3371492.5,2061205.666666667,61.14166666666666,1868146.166666667,55.40833333333333,193059.5,9.375000000000002,4369821.0,174202.7,0
172,Kentucky,2012,21.0,3389582.583333333,2060292.0,60.78333333333333,1891236.583333333,55.79166666666666,169055.41666666663,8.2,4386346.0,176323.1,0
173,Kentucky,2013,21.0,3411412.916666666,2056652.083333333,60.29166666666666,1893497.083333333,55.50833333333333,163155.0,7.916666666666668,4404659.0,179499.1,0
174,Kentucky,2014,21.0,3427723.25,2006478.833333333,58.53333333333333,1877629.916666667,54.77500000000001,128848.91666666669,6.416666666666668,4414349.0,179888.5,0
175,Kentucky,2015,21.0,3443533.5,1979616.666666667,57.48333333333334,1876193.833333333,54.49166666666667,103422.83333333331,5.233333333333333,4425976.0,182487.9,0
176,Kentucky,2016,21.0,3459892.083333333,2015973.5,58.25833333333335,1914499.5,55.31666666666667,101474.0,5.033333333333333,4438182.0,183454.9,0
177,Kentucky,2017,21.0,3475932.416666666,2049482.416666667,58.96666666666666,1952063.5,56.17499999999999,97418.91666666669,4.766666666666667,4452268.0,184600.8,0
178,Kentucky,2018,21.0,3486325.833333333,2052855.583333333,58.87499999999998,1966553.833333333,56.4,86301.75,4.200000000000001,4461153.0,187507.4,0
179,Kentucky,2019,21.0,3497218.916666666,2070043.333333333,59.18333333333334,1984542.0,56.75,85501.33333333331,4.116666666666668,4467673.0,190811.5,0
180,Louisiana,2010,22.0,3437870.583333333,2084849.583333333,60.65833333333333,1928123.583333333,56.09166666666667,156726.0,7.5166666666666675,4544532.0,247856.5,0
181,Louisiana,2011,22.0,3477805.0,2080086.583333333,59.80833333333334,1925604.416666667,55.375,154482.16666666663,7.433333333333333,4575625.0,234299.7,0
182,Louisiana,2012,22.0,3502626.666666666,2090238.583333333,59.68333333333334,1948835.333333333,55.62500000000001,141403.25,6.7666666666666675,4600972.0,233481.2,0
183,Louisiana,2013,22.0,3525455.0,2101861.666666666,59.60833333333333,1967289.166666667,55.8,134572.5,6.416666666666668,4624527.0,226345.4,0
184,Louisiana,2014,22.0,3546849.0,2141396.666666666,60.37500000000001,2007559.666666667,56.6,133837.0,6.25,4644013.0,232746.2,0
185,Louisiana,2015,22.0,3568063.166666666,2150738.583333333,60.28333333333334,2015528.333333333,56.48333333333334,135210.25,6.291666666666668,4664628.0,230434.0,0
186,Louisiana,2016,22.0,3583946.666666666,2123908.75,59.26666666666666,1994883.75,55.65833333333333,129025.0,6.066666666666667,4678135.0,225361.8,0
187,Louisiana,2017,22.0,3585637.75,2108220.333333333,58.78333333333333,2000252.416666667,55.79166666666666,107967.91666666669,5.125,4670560.0,228819.3,0
188,Louisiana,2018,22.0,3584334.166666666,2114842.083333333,59.00833333333333,2012707.083333333,56.15833333333334,102135.0,4.824999999999998,4659690.0,235021.9,0
189,Louisiana,2019,22.0,3584213.5,2119991.166666666,59.13333333333333,2021947.583333333,56.40833333333333,98043.58333333331,4.633333333333334,4648794.0,239967.2,0
190,Maine,2010,23.0,1073082.583333333,697749.5833333335,65.02499999999999,639057.9166666665,59.55833333333334,58691.66666666666,8.416666666666666,1327629.0,53790.1,0
191,Maine,2011,23.0,1079355.75,698901.3333333335,64.75833333333331,644884.8333333335,59.74166666666667,54016.5,7.725,1328284.0,53088.2,0
192,Maine,2012,23.0,1082404.916666667,700834.5,64.74166666666666,650424.6666666665,60.07500000000001,50409.83333333334,7.1916666666666655,1327729.0,52866.6,0
193,Maine,2013,23.0,1085150.416666667,704333.0,64.9,657259.25,60.57500000000001,47073.75,6.683333333333334,1328009.0,52456.3,0
194,Maine,2014,23.0,1089256.5,698028.5,64.08333333333333,659099.0,60.50833333333333,38929.5,5.558333333333334,1330513.0,53445.1,0
195,Maine,2015,23.0,1091323.75,687900.9166666665,63.04166666666668,657691.4166666665,60.25833333333333,30209.5,4.383333333333334,1328262.0,53879.3,0
196,Maine,2016,23.0,1094744.25,693937.8333333335,63.39166666666667,667738.3333333335,60.99166666666665,26199.5,3.775,1331317.0,55088.1,0
197,Maine,2017,23.0,1099814.416666667,699445.5,63.58333333333334,675879.6666666665,61.44999999999999,23565.83333333333,3.358333333333333,1334612.0,55964.7,0
198,Maine,2018,23.0,1105150.333333333,698278.3333333335,63.18333333333334,676529.5833333335,61.20833333333334,21748.75,3.1166666666666667,1339057.0,57302.7,0
199,Maine,2019,23.0,1111587.333333333,696270.75,62.63333333333336,677207.3333333335,60.91666666666666,19063.416666666668,2.7166666666666663,1344212.0,58793.3,0
200,Maryland,2010,24.0,4488287.583333333,3078517.75,68.6,2837523.333333333,63.225,240994.41666666663,7.825,5788645.0,327088.7,0
201,Maryland,2011,24.0,4553234.833333333,3096908.083333333,68.00833333333331,2870546.75,63.05,226361.33333333328,7.316666666666666,5839419.0,333963.8,0
202,Maryland,2012,24.0,4601141.416666667,3121324.583333333,67.83333333333333,2906879.5,63.18333333333333,214445.0833333333,6.866666666666666,5886992.0,334555.5,0
203,Maryland,2013,24.0,4639291.75,3129499.583333333,67.45833333333333,2925343.25,63.05833333333333,204156.3333333333,6.5166666666666675,5923188.0,334431.0,0
204,Maryland,2014,24.0,4670633.833333333,3124848.083333333,66.89999999999999,2945698.75,63.07500000000001,179149.33333333337,5.733333333333333,5957283.0,339991.3,0
205,Maryland,2015,24.0,4697560.833333333,3140166.0,66.83333333333333,2983590.666666666,63.50000000000001,156575.33333333337,4.991666666666666,5985562.0,349146.8,0
206,Maryland,2016,24.0,4715122.416666667,3156152.666666666,66.92500000000001,3020666.166666666,64.05,135486.5,4.291666666666667,6003323.0,359987.5,0
207,Maryland,2017,24.0,4736256.916666667,3202683.416666666,67.625,3071959.833333333,64.84166666666665,130723.58333333331,4.083333333333334,6023868.0,365857.0,0
208,Maryland,2018,24.0,4752321.083333333,3215144.75,67.64166666666667,3092254.583333333,65.06666666666668,122890.16666666669,3.833333333333334,6035802.0,368810.4,0
209,Maryland,2019,24.0,4766221.416666667,3269612.583333333,68.60833333333333,3155973.0,66.20833333333333,113639.58333333331,3.4833333333333325,6045680.0,374039.3,0
210,Massachusetts,2010,25.0,5252271.916666667,3478585.25,66.23333333333335,3198448.0,60.88333333333333,280137.25,8.058333333333334,6566307.0,425028.7,0
211,Massachusetts,2011,25.0,5295565.166666667,3484169.916666666,65.8,3232509.333333333,61.05,251660.58333333328,7.225,6613583.0,435158.0,0
212,Massachusetts,2012,25.0,5351700.0,3506989.75,65.52499999999999,3271573.833333333,61.14166666666667,235415.91666666663,6.700000000000002,6663005.0,444478.2,0
213,Massachusetts,2013,25.0,5407695.833333333,3517511.0,65.04999999999998,3284165.083333333,60.74166666666667,233345.91666666663,6.6416666666666675,6713315.0,446190.4,0
214,Massachusetts,2014,25.0,5461991.416666667,3568913.25,65.35000000000001,3364106.75,61.6,204806.5,5.741666666666667,6762596.0,453778.2,0
215,Massachusetts,2015,25.0,5504918.833333333,3590195.75,65.21666666666665,3418325.083333333,62.1,171870.66666666663,4.791666666666667,6794228.0,471979.2,0
216,Massachusetts,2016,25.0,5543886.666666667,3618191.916666666,65.24999999999999,3472462.416666666,62.63333333333333,145729.5,4.041666666666666,6823608.0,479184.9,0
217,Massachusetts,2017,25.0,5584359.5,3681850.0,65.92500000000001,3541403.75,63.40833333333333,140446.25,3.8,6859789.0,490874.1,0
218,Massachusetts,2018,25.0,5614646.416666667,3762942.583333334,67.03333333333335,3632999.583333334,64.7,129943.0,3.4499999999999997,6882635.0,507806.0,0
219,Massachusetts,2019,25.0,5636431.333333332,3782118.5,67.10000000000001,3667922.416666666,65.09166666666668,114196.08333333331,3.025,6892503.0,519961.6,0
220,Michigan,2010,26.0,7739420.833333332,4754752.083333333,61.43333333333333,4174466.25,53.94166666666666,580285.8333333335,12.191666666666668,9877510.0,400941.8,0
221,Michigan,2011,26.0,7755121.916666668,4668640.416666667,60.19999999999999,4201492.833333333,54.18333333333334,467147.58333333326,10.008333333333333,9882412.0,411427.2,0
222,Michigan,2012,26.0,7791752.166666668,4686361.75,60.13333333333333,4262696.666666667,54.70833333333334,423665.08333333326,9.058333333333334,9897145.0,418742.3,0
223,Michigan,2013,26.0,7826580.583333332,4737929.25,60.53333333333333,4324877.75,55.25833333333333,413051.5,8.725,9913065.0,425327.3,0
224,Michigan,2014,26.0,7859937.5,4758935.583333333,60.54166666666666,4415420.083333333,56.16666666666668,343515.5,7.233333333333333,9929848.0,430935.6,0
225,Michigan,2015,26.0,7884086.833333332,4760773.666666667,60.36666666666667,4502705.416666667,57.10833333333334,258068.25,5.425000000000002,9931715.0,442287.6,0
226,Michigan,2016,26.0,7917715.166666668,4849105.083333333,61.24999999999999,4606582.333333333,58.18333333333332,242522.75,5.008333333333334,9950571.0,451025.9,0
227,Michigan,2017,26.0,7953054.5,4886894.333333333,61.44166666666666,4662832.833333333,58.625,224061.5,4.583333333333335,9973114.0,457341.5,0
228,Michigan,2018,26.0,7976843.666666668,4917555.166666667,61.65,4712486.083333333,59.08333333333334,205069.0833333333,4.158333333333334,9984072.0,467828.0,0
229,Michigan,2019,26.0,7990659.333333332,4949300.0,61.94166666666666,4747971.0,59.40833333333333,201329.0,4.066666666666666,9986857.0,471648.1,0
230,Minnesota,2010,27.0,4115655.166666666,2940580.333333333,71.45,2723277.5,66.15833333333335,217302.8333333333,7.391666666666667,5310828.0,285746.3,0
231,Minnesota,2011,27.0,4150149.916666666,2952236.833333333,71.11666666666666,2759782.75,66.49166666666667,192454.0833333333,6.525000000000001,5346143.0,292275.1,0
232,Minnesota,2012,27.0,4184425.666666666,2950439.25,70.50833333333334,2783839.916666666,66.51666666666667,166599.33333333337,5.650000000000001,5376643.0,296272.5,0
