,State,Year,FIPS_Code,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate
0,Alabama,2010,1.0,3690246.75,2196694.4166666665,59.50833333333335,1968756.75,53.341666666666676,227937.66666666666,10.374999999999998
1,Alabama,2011,1.0,3725084.6666666665,2201954.5,59.11666666666667,1991026.5833333333,53.45833333333332,210927.91666666666,9.583333333333334
2,Alabama,2012,1.0,3745692.5833333335,2179074.9166666665,58.16666666666668,2001117.5833333333,53.425000000000004,177957.33333333334,8.158333333333333
3,Alabama,2013,1.0,3765925.6666666665,2172942.4166666665,57.724999999999994,2013764.5,53.46666666666667,159177.91666666666,7.325
4,Alabama,2014,1.0,3783191.25,2164595.5,57.225,2018737.3333333333,53.36666666666667,145858.16666666666,6.733333333333333
5,Alabama,2015,1.0,3799373.0833333335,2152497.9166666665,56.65,2020763.4166666667,53.175000000000004,131734.5,6.125
6,Alabama,2016,1.0,3816952.75,2155751.4166666665,56.49166666666668,2028929.0,53.166666666666664,126822.41666666667,5.908333333333332
7,Alabama,2017,1.0,3834334.0833333335,2172487.8333333335,56.66666666666668,2073394.4166666667,54.083333333333336,99093.41666666667,4.583333333333333
8,Alabama,2018,1.0,3849182.9166666665,2206796.0833333335,57.32500000000001,2120340.5833333335,55.09166666666667,86455.5,3.9249999999999994
9,Alabama,2019,1.0,3865781.4166666665,2236923.9166666665,57.85833333333333,2169181.0833333335,56.11666666666667,67742.83333333333,3.0250000000000004
10,Alabama,2020,1.0,3881778.6666666665,2232153.8333333335,57.50833333333335,2098876.9166666665,54.083333333333336,133276.91666666666,6.000000000000001
11,Alabama,2021,1.0,3890500.0,2258073.0,58.0,2160347.0,55.5,97726.0,4.3
12,Alaska,2010,2.0,518526.5,361628.5833333333,69.74166666666666,332196.1666666667,64.06666666666665,29432.416666666668,8.133333333333333
13,Alaska,2011,2.0,528559.9166666666,364445.25,68.94166666666666,336210.5,63.60833333333334,28234.75,7.733333333333334
14,Alaska,2012,2.0,534987.25,364276.4166666667,68.07499999999999,337915.0,63.15833333333334,26361.416666666668,7.249999999999999
15,Alaska,2013,2.0,538481.6666666666,363638.4166666667,67.53333333333333,338208.75,62.791666666666686,25429.666666666668,6.991666666666667
16,Alaska,2014,2.0,540372.9166666666,364337.4166666667,67.41666666666667,339774.9166666667,62.87499999999998,24562.5,6.741666666666666
17,Alaska,2015,2.0,542685.0,362328.8333333333,66.75833333333334,339579.1666666667,62.57500000000001,22749.666666666668,6.275000000000001
18,Alaska,2016,2.0,546589.0833333334,362097.3333333333,66.25000000000001,338218.75,61.875,23878.583333333332,6.600000000000001
19,Alaska,2017,2.0,547514.75,361176.6666666667,65.95833333333333,337706.5833333333,61.68333333333333,23470.083333333332,6.500000000000001
20,Alaska,2018,2.0,546892.25,356193.75,65.13333333333333,334994.5,61.25833333333335,21199.25,5.933333333333333
