,NAME,Year,Female_pct,Male_pct,White_pct,Black_pct,Native_pct,Asian_pct,PI_pct,Pct_0_18,Pct_18_25,Pct_25_40,Pct_40_65,Pct_65
0,Alabama,2010,0.5145368348577112,0.48546316514228877,0.48546316514228877,0.5145368348577112,0.025960283806144183,0.028199512468601088,0.003293662793120106,0.4800699160784291,0.20069850073162712,0.38305455046494524,0.6630666294286955,0.273110403296303
1,Alabama,2011,0.5147857271611543,0.48521427283884566,0.48521427283884566,0.5147857271611543,0.026057485701662504,0.029335766312463995,0.0032425578636647513,0.47509775509223656,0.20100040116234427,0.37865742419284043,0.667457768116668,0.27778665143591075
2,Alabama,2012,0.5148765821251173,0.48512341787488267,0.48512341787488267,0.5148765821251173,0.026232956951637486,0.030852270508146984,0.0032545814327315276,0.4709609992113018,0.20190837563955205,0.37656791341782786,0.6631322135877343,0.28743049814358396
3,Alabama,2013,0.5149610865644366,0.4850389134355633,0.4850389134355633,0.5149610865644366,0.026369805301388854,0.03192057106865079,0.0032615843197795345,0.46711527884956505,0.20189463692917944,0.3762832325100445,0.659369026278719,0.2953378254324921
4,Alabama,2014,0.5151742108313143,0.4848257891686857,0.4848257891686857,0.5151742108313143,0.02651219910645274,0.03288138513642566,0.00328476556372559,0.46460109381108394,0.19899063457785704,0.37767570427600644,0.655069543725216,0.30366302360983666
5,Alabama,2015,0.5152890604133203,0.4847109395866796,0.4847109395866796,0.5152890604133203,0.026724090063296246,0.03395510939748801,0.0033255150292608843,0.46259960839578046,0.19496110505182412,0.38025977521058557,0.6510053350096685,0.31117417633214134
6,Alabama,2016,0.5155740997912864,0.48442590020871357,0.48442590020871357,0.5155740997912864,0.026942402485809577,0.03507067323470498,0.003364314341097177,0.46059298263198994,0.19055825631192902,0.38381071245539977,0.6458541817893755,0.3191838668113058
7,Alabama,2017,0.5160215917300892,0.48397840826991073,0.48397840826991073,0.5160215917300892,0.027154714197761626,0.03598809774520187,0.003413484452604097,0.4584415623674322,0.18746837266995628,0.3854770726418431,0.6416576902652816,0.32695530205548673
8,Alabama,2018,0.5163444200525195,0.4836555799474806,0.4836555799474806,0.5163444200525195,0.027463013020573857,0.036590833850277865,0.0034962056807114872,0.4557570478556712,0.1860381585417986,0.3863540303995526,0.6370956984858078,0.33475506471716976
9,Alabama,2019,0.5166158231446117,0.4833841768553882,0.4833841768553882,0.5166158231446117,0.027736942823056537,0.03726629995275956,0.0035474366057345087,0.4529845547788907,0.1846940981480147,0.38683232847317306,0.632400134515145,0.34308888408477656
10,Alaska,2010,0.48083948891341083,0.5191605110865891,0.5191605110865891,0.48083948891341083,0.3658973664196581,0.1333689381771629,0.02974051661057595,0.563750341976671,0.21359241093225786,0.41484617267563856,0.6606714392865417,0.14713963512889083
11,Alaska,2011,0.4807967397680378,0.5192032602319622,0.5192032602319622,0.4807967397680378,0.3656929536590135,0.1370547797182287,0.030845108108386247,0.5579545337600724,0.2139218491113604,0.4187334698624075,0.6561860019964805,0.15320414526967924
12,Alaska,2012,0.4799663286819103,0.5200336713180896,0.5200336713180896,0.4799663286819103,0.3648556889014351,0.14007929544547104,0.03201572684524672,0.5511058891745695,0.2161118782949699,0.4236355359563392,0.6466851299422959,0.1624615666318255
13,Alaska,2013,0.47825079144720517,0.5217492085527948,0.5217492085527948,0.47825079144720517,0.3648555868677083,0.14391804474432446,0.033061266139161175,0.5457401684809379,0.21959463289825257,0.43096048243950924,0.6330267485849692,0.17067796759633105
14,Alaska,2014,0.4777330945560545,0.5222669054439455,0.5222669054439455,0.4777330945560545,0.3672196267865762,0.14626830685316836,0.0334977132580622,0.5418034573975377,0.2172159090193034,0.4378849306919962,0.6226415807694392,0.1804541221217235
15,Alaska,2015,0.47761787149705476,0.5223821285029452,0.5223821285029452,0.47761787149705476,0.36875807985029957,0.14909933248489665,0.034195687057651775,0.5387178880969029,0.21266669014119932,0.4442823583856899,0.6138271704301372,0.19050589294607062
16,Alaska,2016,0.4780262702341923,0.5219737297658077,0.5219737297658077,0.4780262702341923,0.3689781756323517,0.15288931329672817,0.03532695305029941,0.5373111569127162,0.20551727413510584,0.4540883348811165,0.6028430047908367,0.20024022928022459
17,Alaska,2017,0.47902768058227996,0.52097231941772,0.52097231941772,0.47902768058227996,0.37059005421943914,0.15729270860588063,0.03656025168035193,0.5344101273048895,0.1991735009533157,0.4582375114391624,0.5962060163421972,0.2119728439604352
18,Alaska,2018,0.4796211655978496,0.5203788344021504,0.5203788344021504,0.4796211655978496,0.3729701704402452,0.15841731181604937,0.03700758071498324,0.5299050648840744,0.19524619705832016,0.45992187735953527,0.590155641239895,0.2247712194581752
19,Alaska,2019,0.47972183595343554,0.5202781640465645,0.5202781640465645,0.47972183595343554,0.37441001915977384,0.1597599281603207,0.037839606043727735,0.5251445192563936,0.19177961081788364,0.4612112462946614,0.5844375147613616,0.23742710886969964
20,Arizona,2010,0.5031716435548391,0.49682835644516093,0.49682835644516093,0.5031716435548391,0.12021626949455286,0.0737983511723035,0.00867048056804136,0.5217350598053038,0.19941800340768703,0.3974410935826977,0.6105849944054037,0.2708208487989077
21,Arizona,2011,0.5028815432427085,0.4971184567572915,0.4971184567572915,0.5028815432427085,0.12110681713714394,0.07676040603256115,0.00878628823858212,0.5116828775259488,0.20209155066793152,0.39314742942088526,0.6143158601109044,0.27876228227433003
22,Arizona,2012,0.5028189231612562,0.4971810768387438,0.4971810768387438,0.5028189231612562,0.12173632363482814,0.07902576257617447,0.008916444302437524,0.5058439279272645,0.20396941677718064,0.3909448217988014,0.6091442624683825,0.29009757102837097
